db,type,length
ENSEMBL,contig,106087
ENSEMBL,contig,622440
ENSEMBL,contig,371467
ENSEMBL,contig,567141
ENSEMBL,contig,1176254
ENSEMBL,contig,40852
ENSEMBL,contig,99185
ENSEMBL,contig,469321
ENSEMBL,contig,101689
ENSEMBL,contig,20804
ENSEMBL,contig,603634
ENSEMBL,contig,3311
ENSEMBL,contig,163105
ENSEMBL,contig,421875
ENSEMBL,contig,184787
ENSEMBL,contig,583909
ENSEMBL,contig,33000
ENSEMBL,contig,46413
ENSEMBL,contig,195900
ENSEMBL,contig,91058
ENSEMBL,contig,119954
ENSEMBL,contig,593423
ENSEMBL,contig,222540
ENSEMBL,contig,166300
ENSEMBL,contig,120450
ENSEMBL,contig,470554
ENSEMBL,contig,528986
ENSEMBL,contig,32459
ENSEMBL,contig,68140
ENSEMBL,contig,106880
ENSEMBL,contig,409597
ENSEMBL,contig,78488
ENSEMBL,contig,37710
ENSEMBL,contig,83667
ENSEMBL,contig,111919
ENSEMBL,contig,340015
ENSEMBL,contig,1195833
ENSEMBL,contig,21587
ENSEMBL,contig,228215
ENSEMBL,contig,9363
ENSEMBL,contig,88856
ENSEMBL,contig,48116
ENSEMBL,contig,93466
ENSEMBL,contig,433792
ENSEMBL,contig,1082
ENSEMBL,contig,22816
ENSEMBL,contig,16181
ENSEMBL,contig,107376
ENSEMBL,contig,773570
ENSEMBL,contig,32280
ENSEMBL,contig,78624
ENSEMBL,contig,1770134
ENSEMBL,contig,18242
ENSEMBL,contig,698750
ENSEMBL,contig,1313000
ENSEMBL,contig,74213
ENSEMBL,contig,63672
ENSEMBL,contig,79551
ENSEMBL,contig,23656
ENSEMBL,contig,181090
ENSEMBL,contig,24035
ENSEMBL,contig,33387
ENSEMBL,contig,3175
ENSEMBL,contig,109466
ENSEMBL,contig,68657
ENSEMBL,contig,73741
ENSEMBL,contig,114773
ENSEMBL,contig,44798
ENSEMBL,contig,491317
ENSEMBL,contig,131271
ENSEMBL,contig,15726
ENSEMBL,contig,9926
ENSEMBL,contig,10793
ENSEMBL,contig,1462
ENSEMBL,contig,1159852
ENSEMBL,contig,471980
ENSEMBL,contig,7528
ENSEMBL,contig,3817
ENSEMBL,contig,741711
ENSEMBL,contig,154877
ENSEMBL,contig,65004
ENSEMBL,contig,21849
ENSEMBL,contig,76552
ENSEMBL,contig,454526
ENSEMBL,contig,534201
ENSEMBL,contig,304264
ENSEMBL,contig,641050
ENSEMBL,contig,2920
ENSEMBL,contig,22108
ENSEMBL,contig,7760
ENSEMBL,contig,107813
ENSEMBL,contig,45684
ENSEMBL,contig,86593
ENSEMBL,contig,135059
ENSEMBL,contig,419376
ENSEMBL,contig,197747
ENSEMBL,contig,316845
ENSEMBL,contig,60396
ENSEMBL,contig,499723
ENSEMBL,contig,263878
ENSEMBL,contig,120736
ENSEMBL,contig,86112
ENSEMBL,contig,18342
ENSEMBL,contig,128659
ENSEMBL,contig,17735
ENSEMBL,contig,322017
ENSEMBL,contig,18791
ENSEMBL,contig,17155
ENSEMBL,contig,31483
ENSEMBL,contig,3405947
ENSEMBL,contig,444807
ENSEMBL,contig,614404
ENSEMBL,contig,668566
ENSEMBL,contig,56512
ENSEMBL,contig,388625
ENSEMBL,contig,52147
ENSEMBL,contig,47875
ENSEMBL,contig,42854
ENSEMBL,contig,1353175
ENSEMBL,contig,77334
ENSEMBL,contig,39846
ENSEMBL,contig,347287
ENSEMBL,contig,41392
ENSEMBL,contig,699856
ENSEMBL,contig,345622
ENSEMBL,contig,2472454
ENSEMBL,contig,235643
ENSEMBL,contig,11735
ENSEMBL,contig,53482
ENSEMBL,contig,685439
ENSEMBL,contig,5301
ENSEMBL,contig,45664
ENSEMBL,contig,1176747
ENSEMBL,contig,22193
ENSEMBL,contig,84356
ENSEMBL,contig,50668
ENSEMBL,contig,118344
ENSEMBL,contig,2885809
ENSEMBL,contig,110985
ENSEMBL,contig,125613
ENSEMBL,contig,121913
ENSEMBL,contig,381146
ENSEMBL,contig,390981
ENSEMBL,contig,1068288
ENSEMBL,contig,74401
ENSEMBL,contig,1345959
ENSEMBL,contig,18447
ENSEMBL,contig,16881
ENSEMBL,contig,438659
ENSEMBL,contig,39541
ENSEMBL,contig,57343
ENSEMBL,contig,34201
ENSEMBL,contig,10853
ENSEMBL,contig,17146
ENSEMBL,contig,8419
ENSEMBL,contig,4212
ENSEMBL,contig,7991
ENSEMBL,contig,7107
ENSEMBL,contig,7135
ENSEMBL,contig,7848
ENSEMBL,contig,8557
ENSEMBL,contig,13352
ENSEMBL,contig,17526
ENSEMBL,contig,5826
ENSEMBL,contig,9831
ENSEMBL,contig,9893
ENSEMBL,contig,8073
ENSEMBL,contig,88285
ENSEMBL,contig,203159
ENSEMBL,contig,3328
ENSEMBL,contig,253381
ENSEMBL,contig,229896
ENSEMBL,contig,37775
ENSEMBL,contig,6439
ENSEMBL,contig,12276
ENSEMBL,contig,2257
ENSEMBL,contig,6783
ENSEMBL,contig,178151
ENSEMBL,contig,269272
ENSEMBL,contig,240342
ENSEMBL,contig,567269
ENSEMBL,contig,5325
ENSEMBL,contig,818404
ENSEMBL,contig,32027
